#{"t_start": 1756622989.90913, "env_id": "None"}
r,l,t
540.746601,823,77.6629
482.518057,707,78.159362
347.523685,514,78.291675
465.845548,696,78.468332
407.906232,591,78.932992
432.44257,616,79.094111
430.163107,645,79.258958
410.340992,587,79.729056
321.394419,512,79.861539
549.987234,791,80.107956
471.644269,655,80.5899
414.256763,627,80.749802
377.283446,576,80.897586
407.165596,621,81.056484
460.807782,752,81.568832
483.271045,684,81.745459
420.20656,596,81.896955
427.486746,607,82.393757
436.931215,683,82.572554
412.93373,628,82.729381
356.780015,512,83.177062
405.749663,567,83.324987
460.583674,646,83.489809
517.52849,738,84.000103
417.268958,621,84.158886
497.835875,722,84.342712
411.278775,595,84.810499
413.067322,592,84.962108
407.681551,596,85.112891
454.238715,646,85.275619
390.373878,559,85.736001
454.415025,691,85.912338
524.538786,715,86.092392
437.502791,605,86.568274
362.773282,542,86.704528
412.241448,601,86.858538
412.207091,574,87.319903
420.111561,604,87.473872
418.239939,607,87.629622
364.851478,516,87.761593
374.742937,533,88.279235
553.474542,742,88.470652
408.772092,597,88.620358
431.354379,608,89.09235
461.534655,636,89.252562
413.42154,593,89.403097
520.996703,733,89.902662
354.587367,519,90.0346
428.193854,599,90.1875
416.854935,580,90.332821
391.891144,555,90.789039
367.013421,529,90.923202
386.379421,600,91.072869
426.728844,596,91.227618
524.563443,731,91.730695
396.043414,565,91.871713
409.457673,567,92.013944
375.407432,540,92.466176
405.203938,574,92.611537
393.888765,571,92.753765
422.589938,600,93.220658
377.311833,541,93.356781
425.032894,589,93.506185
363.942356,522,93.642655
401.149152,563,94.10118
494.40708,723,94.283147
413.43361,585,94.42898
430.725591,625,94.900257
449.669675,635,95.058661
432.106289,612,95.212668
398.69619,553,95.35206
428.944248,588,95.815657
449.40678,642,95.975894
450.834312,617,96.169111
471.958848,660,97.016629
457.227804,633,97.226432
425.023381,571,97.388541
419.621516,578,97.934471
456.70285,625,98.098238
412.37927,604,98.255263
440.050988,608,98.419784
423.563864,557,98.885614
444.028966,616,99.043736
441.556132,604,99.197932
476.002167,639,99.68112
503.146702,705,99.861625
499.148313,681,100.034822
473.920367,629,100.51096
465.685693,628,100.673261
457.858114,621,100.834015
425.333326,581,100.983675
468.541523,638,101.471731
466.387702,654,101.642027
454.675012,611,101.799131
460.147296,615,102.282698
457.579119,595,102.438291
484.530089,655,102.609469
427.006309,566,103.073932
423.927378,571,103.222156
479.12748,633,103.38507
524.327088,668,103.555174
495.524579,637,104.050642
469.117359,597,104.206364
440.893862,591,104.356166
458.197633,579,104.83043
475.941909,616,104.988238
479.41352,612,105.150089
463.875491,586,105.627814
433.369781,569,105.779843
447.350418,590,105.928228
476.679412,608,106.085761
501.401153,636,106.571805
471.38833,641,106.736264
481.117395,622,106.894751
444.68144,613,107.369762
475.92849,662,107.54192
468.787932,628,107.704219
499.190013,704,108.201849
493.961845,623,108.360032
515.637418,655,108.526269
469.994549,627,109.006557
412.075156,587,109.155572
542.290088,678,109.395997
445.455778,572,109.542149
475.10274,610,110.021452
494.695714,618,110.180639
460.600792,607,110.335889
